Company Name,Exchange,Ticker,Industry,Country,Broad Group,Sub Group,Sector,Sector_code
Ablaze Technologies Inc ,OTCPK,ABZT,Advertising,United States,United States,United States,Communication Services,50
"Adaptive Medias, Inc. ",OTCPK,ADTM,Advertising,United States,United States,United States,Communication Services,50
"Adtegrity.com International, Inc. ",OTCPK,ADTY,Advertising,United States,United States,United States,Communication Services,50
Advantage Solutions Inc. ,NasdaqGS,ADV,Advertising,United States,United States,United States,Communication Services,50
AMBG Inc. ,OTCPK,AMBG,Advertising,United States,United States,United States,Communication Services,50
"Artec Global Media, Inc. ",OTCPK,ACTL,Advertising,United States,United States,United States,Communication Services,50
Bang Holdings Corp. ,OTCPK,BXNG,Advertising,United States,United States,United States,Communication Services,50
"Beta Music Group, Inc. ",OTCPK,BEMG,Advertising,United States,United States,United States,Communication Services,50
Boston Omaha Corporation ,NasdaqCM,BOMN,Advertising,United States,United States,United States,Communication Services,50
"Bright Mountain Media, Inc. ",OTCPK,BMTM,Advertising,United States,United States,United States,Communication Services,50
"Cardlytics, Inc. ",NasdaqGM,CDLX,Advertising,United States,United States,United States,Communication Services,50
"Clear Channel Outdoor Holdings, Inc. ",NYSE,CCO,Advertising,United States,United States,United States,Communication Services,50
"CMG Holdings Group, Inc. ",OTCPK,CMGO,Advertising,United States,United States,United States,Communication Services,50
"Cognitiv, Inc. ",OTCPK,COGV,Advertising,United States,United States,United States,Communication Services,50
"comScore, Inc. ",NasdaqGS,SCOR,Advertising,United States,United States,United States,Communication Services,50
Connected Media Technologies Inc. ,OTCPK,CNCM,Advertising,United States,United States,United States,Communication Services,50
"Corfacts, Inc. ",OTCPK,CFCC,Advertising,United States,United States,United States,Communication Services,50
"Creative Realities, Inc. ",NasdaqCM,CREX,Advertising,United States,United States,United States,Communication Services,50
Crown Equity Holdings Inc. ,OTCPK,CRWE,Advertising,United States,United States,United States,Communication Services,50
"Dewmar International BMC, Inc. ",OTCPK,DEWM,Advertising,United States,United States,United States,Communication Services,50
"Digital Brand Media & Marketing Group, Inc. ",OTCPK,DBMM,Advertising,United States,United States,United States,Communication Services,50
"Digital Media Solutions, Inc. ",NYSE,DMS,Advertising,United States,United States,United States,Communication Services,50
"Elvictor Group, Inc. ",OTCPK,ELVG,Advertising,United States,United States,United States,Communication Services,50
"Emerald Holding, Inc. ",NYSE,EEX,Advertising,United States,United States,United States,Communication Services,50
engage:BDR Limited ,ASX,EN1,Advertising,United States,United States,United States,Communication Services,50
"Fluent, Inc. ",NasdaqGM,FLNT,Advertising,United States,United States,United States,Communication Services,50
Ghost Technology Inc ,OTCPK,GHST,Advertising,United States,United States,United States,Communication Services,50
"GIFA, Inc. ",OTCPK,GIFX,Advertising,United States,United States,United States,Communication Services,50
"Harte Hanks, Inc. ",OTCPK,HRTH,Advertising,United States,United States,United States,Communication Services,50
"Holistic Asset Finance Group Co., Ltd. ",OTCPK,HAFG,Advertising,United States,United States,United States,Communication Services,50
"Insignia Systems, Inc. ",NasdaqCM,ISIG,Advertising,United States,United States,United States,Communication Services,50
"International Consolidated Companies, Inc. ",OTCPK,INCC,Advertising,United States,United States,United States,Communication Services,50
InventaBioTech Inc. ,OTCPK,INVB,Advertising,United States,United States,United States,Communication Services,50
"Madison Ave Media, Inc. ",OTCPK,KHZM,Advertising,United States,United States,United States,Communication Services,50
"Marchex, Inc. ",NasdaqGS,MCHX,Advertising,United States,United States,United States,Communication Services,50
"Mastermind, Inc. ",OTCPK,MMND,Advertising,United States,United States,United States,Communication Services,50
MDC Partners Inc. ,NasdaqGS,MDCA,Advertising,United States,United States,United States,Communication Services,50
"Mobiquity Technologies, Inc. ",OTCPK,MOBQ,Advertising,United States,United States,United States,Communication Services,50
"National CineMedia, Inc. ",NasdaqGS,NCMI,Advertising,United States,United States,United States,Communication Services,50
"NextMart, Inc. ",OTCPK,NXMR,Advertising,United States,United States,United States,Communication Services,50
