Company Name,Exchange,Ticker,Industry Group,Country,Broad Group,Sub Group
Ablaze Technologies Inc ,OTCPK,ABZT,Advertising,United States,United States,United States
"Adaptive Medias, Inc. ",OTCPK,ADTM,Advertising,United States,United States,United States
"Adtegrity.com International, Inc. ",OTCPK,ADTY,Advertising,United States,United States,United States
Advantage Solutions Inc. ,NasdaqGS,ADV,Advertising,United States,United States,United States
AMBG Inc. ,OTCPK,AMBG,Advertising,United States,United States,United States
"Artec Global Media, Inc. ",OTCPK,ACTL,Advertising,United States,United States,United States
Bang Holdings Corp. ,OTCPK,BXNG,Advertising,United States,United States,United States
"Beta Music Group, Inc. ",OTCPK,BEMG,Advertising,United States,United States,United States
Boston Omaha Corporation ,NasdaqCM,BOMN,Advertising,United States,United States,United States
"Bright Mountain Media, Inc. ",OTCPK,BMTM,Advertising,United States,United States,United States
"Cardlytics, Inc. ",NasdaqGM,CDLX,Advertising,United States,United States,United States
"Clear Channel Outdoor Holdings, Inc. ",NYSE,CCO,Advertising,United States,United States,United States
"CMG Holdings Group, Inc. ",OTCPK,CMGO,Advertising,United States,United States,United States
"Cognitiv, Inc. ",OTCPK,COGV,Advertising,United States,United States,United States
"comScore, Inc. ",NasdaqGS,SCOR,Advertising,United States,United States,United States
Connected Media Technologies Inc. ,OTCPK,CNCM,Advertising,United States,United States,United States
"Corfacts, Inc. ",OTCPK,CFCC,Advertising,United States,United States,United States
"Creative Realities, Inc. ",NasdaqCM,CREX,Advertising,United States,United States,United States
Crown Equity Holdings Inc. ,OTCPK,CRWE,Advertising,United States,United States,United States
"Dewmar International BMC, Inc. ",OTCPK,DEWM,Advertising,United States,United States,United States
"Digital Brand Media & Marketing Group, Inc. ",OTCPK,DBMM,Advertising,United States,United States,United States
"Digital Media Solutions, Inc. ",NYSE,DMS,Advertising,United States,United States,United States
"Elvictor Group, Inc. ",OTCPK,ELVG,Advertising,United States,United States,United States
"Emerald Holding, Inc. ",NYSE,EEX,Advertising,United States,United States,United States
engage:BDR Limited ,ASX,EN1,Advertising,United States,United States,United States
"Fluent, Inc. ",NasdaqGM,FLNT,Advertising,United States,United States,United States
Ghost Technology Inc ,OTCPK,GHST,Advertising,United States,United States,United States
"GIFA, Inc. ",OTCPK,GIFX,Advertising,United States,United States,United States
"Harte Hanks, Inc. ",OTCPK,HRTH,Advertising,United States,United States,United States
"Holistic Asset Finance Group Co., Ltd. ",OTCPK,HAFG,Advertising,United States,United States,United States
"Insignia Systems, Inc. ",NasdaqCM,ISIG,Advertising,United States,United States,United States
"International Consolidated Companies, Inc. ",OTCPK,INCC,Advertising,United States,United States,United States
InventaBioTech Inc. ,OTCPK,INVB,Advertising,United States,United States,United States
"Madison Ave Media, Inc. ",OTCPK,KHZM,Advertising,United States,United States,United States
"Marchex, Inc. ",NasdaqGS,MCHX,Advertising,United States,United States,United States
"Mastermind, Inc. ",OTCPK,MMND,Advertising,United States,United States,United States
MDC Partners Inc. ,NasdaqGS,MDCA,Advertising,United States,United States,United States
"Mobiquity Technologies, Inc. ",OTCPK,MOBQ,Advertising,United States,United States,United States
"National CineMedia, Inc. ",NasdaqGS,NCMI,Advertising,United States,United States,United States
"NextMart, Inc. ",OTCPK,NXMR,Advertising,United States,United States,United States
Omnicom Group Inc. ,NYSE,OMC,Advertising,United States,United States,United States
"Perk International, Inc. ",OTCPK,PRKI,Advertising,United States,United States,United States
Placer Creek Mining Co. ,OTCPK,PRCK,Advertising,United States,United States,United States
"ProConcept Marketing Group, Inc. ",OTCPK,PRMK,Advertising,United States,United States,United States
"Sibannac, Inc. ",OTCPK,SNNC,Advertising,United States,United States,United States
"Simon Worldwide, Inc. ",OTCPK,SWWI,Advertising,United States,United States,United States
"SPAR Group, Inc. ",NasdaqCM,SGRP,Advertising,United States,United States,United States
"SRAX, Inc. ",NasdaqCM,SRAX,Advertising,United States,United States,United States
Strategic Management and Opportunity Corporation ,OTCPK,SMPP,Advertising,United States,United States,United States
"TechTarget, Inc. ",NasdaqGM,TTGT,Advertising,United States,United States,United States
"The Interpublic Group of Companies, Inc. ",NYSE,IPG,Advertising,United States,United States,United States
"Thryv Holdings, Inc. ",NasdaqCM,THRY,Advertising,United States,United States,United States
"Tianrong Internet Products and Services, Inc. ",OTCPK,TIPS,Advertising,United States,United States,United States
"Tradeshow Marketing Company, Ltd. ",OTCPK,TSHO,Advertising,United States,United States,United States
"Treasure & Shipwreck Recovery, Inc. ",OTCPK,BLIS,Advertising,United States,United States,United States
"UNEEQO, Inc. ",OTCPK,UNEQ,Advertising,United States,United States,United States
United Communications Partners Inc. ,OTCPK,UCPA,Advertising,United States,United States,United States
USA Zhimingde International Group Corporation ,OTCPK,ZMDC,Advertising,United States,United States,United States
"W Technologies, Inc. ",OTCPK,WTCG,Advertising,United States,United States,United States
"Wizard Entertainment, Inc. ",OTCPK,WIZD,Advertising,United States,United States,United States
Zulu-Tek Inc ,OTCPK,ZULU,Advertising,United States,United States,United States
AAR Corp. ,NYSE,AIR,Aerospace/Defense,United States,United States,United States
"Aerojet Rocketdyne Holdings, Inc. ",NYSE,AJRD,Aerospace/Defense,United States,United States,United States
"AeroVironment, Inc. ",NasdaqGS,AVAV,Aerospace/Defense,United States,United States,United States
Air Industries Group ,AMEX,AIRI,Aerospace/Defense,United States,United States,United States
"American Defense Systems, Inc. ",OTCPK,ADFS,Aerospace/Defense,United States,United States,United States
"Applied Energetics, Inc. ",OTCPK,AERG,Aerospace/Defense,United States,United States,United States
Astronics Corporation ,NasdaqGS,ATRO,Aerospace/Defense,United States,United States,United States
Astrotech Corporation ,NasdaqCM,ASTC,Aerospace/Defense,United States,United States,United States
"Axon Enterprise, Inc. ",NasdaqGS,AAXN,Aerospace/Defense,United States,United States,United States
Ballistic Recovery Systems Inc. ,OTCPK,BRSI,Aerospace/Defense,United States,United States,United States
"Bantec, Inc. ",OTCPK,BANT,Aerospace/Defense,United States,United States,United States
Butler National Corporation ,OTCPK,BUKS,Aerospace/Defense,United States,United States,United States
"BWX Technologies, Inc. ",NYSE,BWXT,Aerospace/Defense,United States,United States,United States
Byrna Technologies Inc. ,OTCPK,BYRN,Aerospace/Defense,United States,United States,United States
"CPI Aerostructures, Inc. ",AMEX,CVU,Aerospace/Defense,United States,United States,United States
Cubic Corporation ,NYSE,CUB,Aerospace/Defense,United States,United States,United States
Curtiss-Wright Corporation ,NYSE,CW,Aerospace/Defense,United States,United States,United States
"Drone Services USA, Inc. ",OTCPK,DSUS,Aerospace/Defense,United States,United States,United States
Ducommun Incorporated ,NYSE,DCO,Aerospace/Defense,United States,United States,United States
Environmental Tectonics Corporation ,OTCPK,ETCC,Aerospace/Defense,United States,United States,United States
General Dynamics Corporation ,NYSE,GD,Aerospace/Defense,United States,United States,United States
Giga-tronics Incorporated ,OTCPK,GIGA,Aerospace/Defense,United States,United States,United States
"Global Digital Solutions, Inc. ",OTCPK,GDSI,Aerospace/Defense,United States,United States,United States
Golden Star Enterprises Ltd. ,OTCPK,GSPT,Aerospace/Defense,United States,United States,United States
HEICO Corporation ,NYSE,HEI,Aerospace/Defense,United States,United States,United States
Hexcel Corporation ,NYSE,HXL,Aerospace/Defense,United States,United States,United States
Howmet Aerospace Inc. ,NYSE,HWM,Aerospace/Defense,United States,United States,United States
"Huntington Ingalls Industries, Inc. ",NYSE,HII,Aerospace/Defense,United States,United States,United States
"Innovative Solutions and Support, Inc. ",NasdaqGS,ISSC,Aerospace/Defense,United States,United States,United States
InRob Tech Ltd. ,OTCPK,IRBL,Aerospace/Defense,United States,United States,United States
"Kaiser Group Holdings, Inc. ",OTCPK,KGHI,Aerospace/Defense,United States,United States,United States
Kaman Corporation ,NYSE,KAMN,Aerospace/Defense,United States,United States,United States
"Kratos Defense & Security Solutions, Inc. ",NasdaqGS,KTOS,Aerospace/Defense,United States,United States,United States
"L3Harris Technologies, Inc. ",NYSE,LHX,Aerospace/Defense,United States,United States,United States
Lockheed Martin Corporation ,NYSE,LMT,Aerospace/Defense,United States,United States,United States
Maxar Technologies Inc. ,NYSE,MAXR,Aerospace/Defense,United States,United States,United States
"Mercury Systems, Inc. ",NasdaqGS,MRCY,Aerospace/Defense,United States,United States,United States
Mikros Systems Corporation ,OTCPK,MKRS,Aerospace/Defense,United States,United States,United States
Moog Inc. ,NYSE,MOG.A,Aerospace/Defense,United States,United States,United States
"Mundus Group, Inc. ",OTCPK,MNDP,Aerospace/Defense,United States,United States,United States
"National Presto Industries, Inc. ",NYSE,NPK,Aerospace/Defense,United States,United States,United States
Northrop Grumman Corporation ,NYSE,NOC,Aerospace/Defense,United States,United States,United States
"Northstar Electronics, Inc. ",OTCPK,NEIK,Aerospace/Defense,United States,United States,United States
"Optex Systems Holdings, Inc ",OTCPK,OPXS,Aerospace/Defense,United States,United States,United States
PAE Incorporated ,NasdaqCM,PAE,Aerospace/Defense,United States,United States,United States
Park Aerospace Corp. ,NYSE,PKE,Aerospace/Defense,United States,United States,United States
Parsons Corporation ,NYSE,PSN,Aerospace/Defense,United States,United States,United States
"PASSUR Aerospace, Inc. ",OTCPK,PSSR,Aerospace/Defense,United States,United States,United States
"PM&E, Inc. ",OTCPK,PMEA,Aerospace/Defense,United States,United States,United States
POSTD Merchant Banque ,OTCPK,PMBY,Aerospace/Defense,United States,United States,United States
Raytheon Technologies Corporation ,NYSE,RTX,Aerospace/Defense,United States,United States,United States
"Safer Shot, Inc. ",OTCPK,SAFS,Aerospace/Defense,United States,United States,United States
"SIFCO Industries, Inc. ",AMEX,SIF,Aerospace/Defense,United States,United States,United States
"Sigma Labs, Inc. ",NasdaqCM,SGLB,Aerospace/Defense,United States,United States,United States
"Spirit AeroSystems Holdings, Inc. ",NYSE,SPR,Aerospace/Defense,United States,United States,United States
"STG Group, Inc. ",OTCPK,STGG.Q,Aerospace/Defense,United States,United States,United States
"Stinger Systems, Inc. ",OTCPK,STYS,Aerospace/Defense,United States,United States,United States
Tel-Instrument Electronics Corp. ,OTCPK,TIKK,Aerospace/Defense,United States,United States,United States
Teledyne Technologies Incorporated ,NYSE,TDY,Aerospace/Defense,United States,United States,United States
Textron Inc. ,NYSE,TXT,Aerospace/Defense,United States,United States,United States
The Boeing Company ,NYSE,BA,Aerospace/Defense,United States,United States,United States
TransDigm Group Incorporated ,NYSE,TDG,Aerospace/Defense,United States,United States,United States
"Triumph Group, Inc. ",NYSE,TGI,Aerospace/Defense,United States,United States,United States
"U.S. Aerospace, Inc. ",OTCPK,USAE,Aerospace/Defense,United States,United States,United States
"Umbra Applied Technologies Group, Inc. ",OTCPK,UATG,Aerospace/Defense,United States,United States,United States
Utilicraft Aerospace Industries Inc. ,OTCPK,UITA,Aerospace/Defense,United States,United States,United States
"Valmie Resources, Inc. ",OTCPK,VMRI,Aerospace/Defense,United States,United States,United States
"Vectrus, Inc. ",NYSE,VEC,Aerospace/Defense,United States,United States,United States
"Virgin Galactic Holdings, Inc. ",NYSE,SPCE,Aerospace/Defense,United States,United States,United States
"VirTra, Inc. ",NasdaqCM,VTSI,Aerospace/Defense,United States,United States,United States
"Xenonics Holdings, Inc. ",OTCPK,XNNH.Q,Aerospace/Defense,United States,United States,United States
"Xeriant, Inc. ",OTCPK,XERI,Aerospace/Defense,United States,United States,United States
"Alaska Air Group, Inc. ",NYSE,ALK,Air Transport,United States,United States,United States
Allegiant Travel Company ,NasdaqGS,ALGT,Air Transport,United States,United States,United States
American Airlines Group Inc. ,NasdaqGS,AAL,Air Transport,United States,United States,United States
"Delta Air Lines, Inc. ",NYSE,DAL,Air Transport,United States,United States,United States
Global Crossing Airlines Group Inc. ,TSXV,JET,Air Transport,United States,United States,United States
"Great Lakes Aviation, Ltd. ",OTCPK,GLUX,Air Transport,United States,United States,United States
"Hawaiian Holdings, Inc. ",NasdaqGS,HA,Air Transport,United States,United States,United States
JetBlue Airways Corporation ,NasdaqGS,JBLU,Air Transport,United States,United States,United States
Macquarie Infrastructure Corporation ,NYSE,MIC,Air Transport,United States,United States,United States
